Date,Price,Open,High,Low,Vol.,Change %
10/30/2019,"1,580.00","1,583.00","1,583.00","1,575.33",103.99M,0.14%
10/29/2019,"1,577.79","1,573.16","1,577.98","1,570.18",136.24M,0.50%
10/25/2019,"1,570.00","1,572.92","1,573.15","1,567.90",70.21M,-0.07%
10/24/2019,"1,571.11","1,569.47","1,571.43","1,565.64",85.71M,0.15%
10/23/2019,"1,568.79","1,571.66","1,573.23","1,564.08",81.16M,-0.34%
10/22/2019,"1,574.09","1,570.27","1,574.09","1,567.70",92.72M,0.20%
10/21/2019,"1,570.93","1,568.78","1,572.06","1,565.08",48.98M,-0.01%
10/18/2019,"1,571.15","1,572.72","1,576.87","1,567.72",102.59M,-0.21%
10/17/2019,"1,574.50","1,573.04","1,577.04","1,569.21",96.26M,-0.03%
10/16/2019,"1,574.90","1,568.10","1,574.90","1,567.87",104.22M,0.55%
10/15/2019,"1,566.23","1,567.03","1,568.24","1,563.13",84.41M,-0.09%
10/14/2019,"1,567.59","1,562.65","1,568.96","1,562.65",67.60M,0.69%
10/11/2019,"1,556.84","1,550.96","1,558.26","1,550.96",78.63M,0.32%
10/10/2019,"1,551.87","1,550.70","1,553.18","1,548.45",69.71M,0.04%
10/09/2019,"1,551.23","1,554.73","1,555.42","1,548.62",87.65M,-0.48%
10/08/2019,"1,558.79","1,560.46","1,565.16","1,556.21",78.38M,-0.01%
10/07/2019,"1,559.00","1,557.79","1,560.37","1,555.55",44.08M,0.09%
10/04/2019,"1,557.67","1,563.89","1,564.79","1,551.96",76.43M,-0.41%
10/03/2019,"1,564.12","1,571.96","1,572.04","1,563.13",90.32M,-0.68%
10/02/2019,"1,574.90","1,588.85","1,589.06","1,574.90",87.43M,-0.91%
10/01/2019,"1,589.44","1,584.94","1,589.64","1,583.84",71.30M,0.35%
09/30/2019,"1,583.91","1,584.26","1,586.69","1,578.53",92.49M,-0.01%
09/27/2019,"1,584.14","1,590.24","1,592.05","1,583.45",73.33M,-0.56%
09/26/2019,"1,593.00","1,589.48","1,593.05","1,589.21",95.04M,0.22%
09/25/2019,"1,589.58","1,592.52","1,593.99","1,586.14",74.12M,-0.17%
09/24/2019,"1,592.33","1,593.50","1,593.50","1,585.58",100.39M,-0.04%
09/23/2019,"1,592.93","1,597.59","1,597.59","1,590.97",83.78M,-0.28%
09/20/2019,"1,597.41","1,597.61","1,597.61","1,590.02",246.86M,0.07%
